journal_name,subject_area,print_number,online_number,journal_link
Marine and Fishery Sciences                            MAFIS,"Geography. Anthropology. Recreation: Oceanography
Agriculture: Aquaculture. Fisheries. Angling
Science: Biology (General): Ecology",,2683-7951,https://doaj.org/toc/2683-7951
Journal of Sugarcane Research,Agriculture,2249-927X,2582-4767,https://doaj.org/toc/2249-927X
"Trees, Forests and People","Agriculture: Forestry
Science: Botany: Plant ecology",,2666-7193,https://doaj.org/toc/2666-7193
Informe Gepec,"Agriculture: Agriculture (General)
Social Sciences: Industries. Land use. Labor: Special industries and trades: Agricultural industries",1676-0670,1679-415X,https://doaj.org/toc/1676-0670
Indonesian Journal of Agricultural Research,"Agriculture: Plant culture
Social Sciences: Industries. Land use. Labor: Special industries and trades: Agricultural industries",2622-7681,2615-5842,https://doaj.org/toc/2622-7681
Dysona. Applied Science,"Agriculture
Technology",,2708-6283,https://doaj.org/toc/2708-6283
Journal of Applied Food Technology,"Agriculture
Technology: Chemical technology: Food processing and manufacture",2355-9152,2614-7076,https://doaj.org/toc/2355-9152
Науковий вісник ветеринарної медицини,Agriculture: Animal culture: Veterinary medicine,2310-4902,2415-7589,https://doaj.org/toc/2310-4902
Revista Macambira,"Agriculture: Agriculture (General)
Geography. Anthropology. Recreation: Environmental sciences",,2594-4754,https://doaj.org/toc/2594-4754
Translational Animal Science,Agriculture: Animal culture,,2573-2102,https://doaj.org/toc/2573-2102
Jurnal Agro Industri Perkebunan,"Agriculture: Plant culture
Social Sciences: Industries. Land use. Labor: Special industries and trades: Agricultural industries",2337-9944,2548-9259,https://doaj.org/toc/2337-9944
Buletin Agroteknologi,Agriculture,,2722-7235,https://doaj.org/toc/2722-7235
Forestry Economics Review,Agriculture: Forestry,,2631-3030,https://doaj.org/toc/2631-3030
Revista de la Facultad de Ciencias Agropecuarias,"Agriculture: Agriculture (General)
Science: Natural history (General)",1692-9454,2539-178X,https://doaj.org/toc/1692-9454
Applied Phycology,"Agriculture: Aquaculture. Fisheries. Angling
Geography. Anthropology. Recreation: Environmental sciences",,2638-8081,https://doaj.org/toc/2638-8081
Canine Medicine and Genetics                          ,Agriculture: Animal culture: Veterinary medicine,2662-9380,,https://doaj.org/toc/2662-9380
Revista Latinoamericana de la Papa                            Latin America Potato Journal,Agriculture,,1853-4961,https://doaj.org/toc/1853-4961
CABI Agriculture and Bioscience,Agriculture: Agriculture (General),,2662-4044,https://doaj.org/toc/2662-4044
Aceh Journal of Animal Science,"Agriculture: Animal culture
Science: Zoology",2502-9568,2622-8734,https://doaj.org/toc/2502-9568
Arab Universities Journal of Agricultural Sciences                            مجلة اتحاد الجامعات العربية للعلوم الزراعية,Agriculture,1110-2675,2636-3585,https://doaj.org/toc/1110-2675
Revista Forestal Mesoamericana Kuru,"Agriculture: Forestry
Geography. Anthropology. Recreation: Environmental sciences",,2215-2504,https://doaj.org/toc/2215-2504
Revista Colombiana de Investigaciones Agroindustriales,"Agriculture: Agriculture (General)
Technology: Home economics: Nutrition. Foods and food supply",,2422-4456,https://doaj.org/toc/2422-4456
Plants and Environment,"Agriculture: Plant culture
Geography. Anthropology. Recreation: Environmental sciences",,2582-3744,https://doaj.org/toc/2582-3744
Archives of Veterinary Medicine,Agriculture: Animal culture: Veterinary medicine,1820-9955,2683-4138,https://doaj.org/toc/1820-9955
CORD                            Coconut Research and Development,Agriculture,0215-1162,2721-8856,https://doaj.org/toc/0215-1162
Journal of Wood Science,"Agriculture: Forestry
Technology: Building construction",1435-0211,1611-4663,https://doaj.org/toc/1435-0211
مجله دامپزشکی ایران.                            Iranian Veterinary Journal,Agriculture: Animal culture: Veterinary medicine,1735-6873,2676-704X,https://doaj.org/toc/1735-6873
International Journal of Horticultural Science                            IJHS,"Agriculture: Plant culture
Science: Botany: Plant ecology",1585-0404,2676-931X,https://doaj.org/toc/1585-0404
Bioscience Journal,"Agriculture
Science: Biology (General)",1516-3725,1981-3163,https://doaj.org/toc/1516-3725
Volga Region Farmland                            Niva Povolzhya,"Agriculture: Agriculture (General)
Agriculture: Animal culture: Veterinary medicine",2686-7672,2713-198X,https://doaj.org/toc/2686-7672
AGROMIX,Agriculture: Agriculture (General),2085-241X,2599-3003,https://doaj.org/toc/2085-241X
Intropica,"Agriculture
Geography. Anthropology. Recreation: Environmental sciences
Science: Biology (General)",1794-161X,2389-7864,https://doaj.org/toc/1794-161X
SVU-International Journal of Agricultural Sciences,Agriculture,2636-3801,2636-381X,https://doaj.org/toc/2636-3801
Frontiers in Agronomy                          ,Agriculture: Plant culture,,2673-3218,https://doaj.org/toc/2673-3218
Journal of Applied Animal Nutrition                          ,Agriculture: Animal culture,,2049-257X,https://doaj.org/toc/2049-257X
Landbauforschung                            Journal of Sustainable and Organic Agricultural Systems,Agriculture: Agriculture (General),2194-3605,2700-8711,https://doaj.org/toc/2194-3605
Вопросы лесной науки                            Forest Science Issues,Agriculture: Forestry,,2658-607X,https://doaj.org/toc/2658-607X
Semiárida,"Agriculture: Agriculture (General)
Agriculture: Animal culture: Cattle",2362-4337,2408-4077,https://doaj.org/toc/2362-4337
Dharma Raflesia                            Jurnal Ilmiah Pengembangan dan Penerapan IPTEKS,Agriculture,1693-8046,2615-4544,https://doaj.org/toc/1693-8046
Poultry Science,Agriculture: Animal culture,0032-5791,1525-3171,https://doaj.org/toc/0032-5791
Journal of Applied Poultry Research,"Agriculture: Animal culture
Technology: Chemical technology: Food processing and manufacture",1056-6171,1537-0437,https://doaj.org/toc/1056-6171
مجلة الانبار للعلوم البيطرية                            Al-Anbar Journal of Veterinary Sciences,Agriculture: Animal culture: Veterinary medicine,1999-6527,2707-0603,https://doaj.org/toc/1999-6527
Animal Reproduction                          ,"Agriculture: Animal culture
Science: Biology (General)",1806-9614,1984-3143,https://doaj.org/toc/1806-9614
Plant Sociology                          ,"Agriculture: Plant culture
Science: Botany: Plant ecology",2280-1855,2704-6192,https://doaj.org/toc/2280-1855
Jurnal Pangan dan Agroindustri                            JPA,"Agriculture
Technology: Chemical technology: Biotechnology",2354-7936,2685-2861,https://doaj.org/toc/2354-7936
Ecuador es Calidad                            Revista Científica Ecuatoriana,"Agriculture: Agriculture (General)
Agriculture: Animal culture",1390-9223,2528-7850,https://doaj.org/toc/1390-9223
مجله بیوتکنولوژی کشاورزی                            Agricultural Biotechnology Journal,"Agriculture
Technology: Chemical technology: Biotechnology",2228-6705,2228-6500,https://doaj.org/toc/2228-6705
Journal of Applied Agricultural Science and Technology,Agriculture: Agriculture (General),2621-4709,2621-2528,https://doaj.org/toc/2621-4709
"Revista IDEAS                            Revista Interfaces em Desenvolvimento, Agricultura e Sociedade",Agriculture,1982-257X,1984-9834,https://doaj.org/toc/1982-257X
Annales Horticulturae,"Agriculture: Agriculture (General)
Agriculture: Plant culture",2544-4484,2544-8013,https://doaj.org/toc/2544-4484
World Rabbit Science,Agriculture: Animal culture: Veterinary medicine,1257-5011,1989-8886,https://doaj.org/toc/1257-5011
Ciencia Veterinaria,"Agriculture: Animal culture: Veterinary medicine
Science: Zoology",1515-1883,1853-8495,https://doaj.org/toc/1515-1883
Agro Bali: Agricultural Journal,Agriculture: Agriculture (General),,2655-853X,https://doaj.org/toc/2655-853X
Jurnal Agroqua                            Media Informasi Agronomi dan Budidaya Perairan,Agriculture: Aquaculture. Fisheries. Angling,0216-6585,2598-4071,https://doaj.org/toc/0216-6585
Journal of the American Society for Horticultural Science                            Journal of ASHS,Agriculture: Plant culture,0003-1062,2327-9788,https://doaj.org/toc/0003-1062
Jurnal Ilmiah Peternakan Terpadu                            JIPT,Agriculture: Animal culture,2303-1956,2614-0497,https://doaj.org/toc/2303-1956
Arabian Journal of Medicinal and Aromatic Plants,"Agriculture: Agriculture (General)
Medicine",,2458-5920,https://doaj.org/toc/2458-5920
Revista PesquisAgro                            PesquisAgro,"Agriculture: Forestry
Agriculture: Agriculture (General)
Agriculture: Plant culture",,2596-0644,https://doaj.org/toc/2596-0644
HortScience,Agriculture: Plant culture,,2327-9834,https://doaj.org/toc/2327-9834
Бюллетень Почвенного института им. В.В. Докучаева                            Byulleten Pochvennogo instituta imeni V.V. Dokuchaeva,Agriculture: Agriculture (General),0136-1694,2312-4202,https://doaj.org/toc/0136-1694
Marine Science and Technology Bulletin,"Agriculture: Aquaculture. Fisheries. Angling
Naval Science: Naval architecture. Shipbuilding. Marine engineering",,2147-9666,https://doaj.org/toc/2147-9666
Biología Acuática,"Agriculture: Aquaculture. Fisheries. Angling
Science: Biology (General)
Science: Physiology: Animal biochemistry",,1668-4869,https://doaj.org/toc/1668-4869
BioProducts Business,"Agriculture: Forestry
Social Sciences: Commerce: Business",,2378-1394,https://doaj.org/toc/2378-1394
Acta Silvae et Ligni,"Agriculture: Forestry
Geography. Anthropology. Recreation: Environmental sciences",2335-3112,2335-3953,https://doaj.org/toc/2335-3112
International Journal of Horticultural Science and Technology,Agriculture,2322-1461,2588-3143,https://doaj.org/toc/2322-1461
Journal of Agricultural Sciences (Belgrade),Agriculture,1450-8109,2406-0968,https://doaj.org/toc/1450-8109
Theoretical and Applied Veterinary Medicine,Agriculture: Animal culture: Veterinary medicine,2663-1156,2663-1164,https://doaj.org/toc/2663-1156
Journal für Kulturpflanzen                            Journal of Cultivated Plants,Agriculture: Agriculture (General),1867-0911,1867-0938,https://doaj.org/toc/1867-0911
Acta Agrophysica,"Agriculture: Agriculture (General)
Technology: Environmental technology. Sanitary engineering: Environmental protection
Geography. Anthropology. Recreation: Physical geography
Science: Chemistry: Physical and theoretical chemistry",1234-4125,2300-6730,https://doaj.org/toc/1234-4125
in silico Plants,"Agriculture: Plant culture
Science: Botany",,2517-5025,https://doaj.org/toc/2517-5025
Advancements in Agricultural Development                          ,"Agriculture
Social Sciences",,2690-5078,https://doaj.org/toc/2690-5078
Journal of Applied Communications,"Agriculture: Agriculture (General)
Language and Literature: Philology. Linguistics: Communication. Mass media",1051-0834,2476-1362,https://doaj.org/toc/1051-0834
Agri-Environmental Sciences,"Agriculture: Agriculture (General)
Agriculture: Animal culture
Geography. Anthropology. Recreation: Environmental sciences",,2525-4804,https://doaj.org/toc/2525-4804
Menara Perkebunan,Agriculture: Agriculture (General),0125-9318,1858-3768,https://doaj.org/toc/0125-9318
Journal of Tropical Crop Science,"Agriculture: Agriculture (General)
Agriculture: Plant culture",2356-0169,2356-0177,https://doaj.org/toc/2356-0169
HortTechnology,Agriculture: Plant culture,1063-0198,1943-7714,https://doaj.org/toc/1063-0198
Mesopotamia Journal of Agriculture,Agriculture,1815-316X,2224-9796,https://doaj.org/toc/1815-316X
Legume Science,Agriculture: Plant culture,,2639-6181,https://doaj.org/toc/2639-6181
Plant Biotechnology Persa,Agriculture,,2676-7414,https://doaj.org/toc/2676-7414
Науковий вісник Львівського національного університету ветеринарної медицини та біотехнологій імені С.З. Гжицького. Серія: Сільськогосподарські науки                            Scientific Messenger of Lviv National University of Veterinary Medicine and Biotechnologies. Series: Agricultural Sciences,Agriculture: Animal culture: Veterinary medicine,2519-2698,2707-5834,https://doaj.org/toc/2519-2698
Pesquisa Agropecuária Gaúcha                            PAG,Agriculture: Agriculture (General),0104-9070,2595-7686,https://doaj.org/toc/0104-9070
"Advances in Food Science, Sustainable Agriculture, and Agroindustrial Engineering",Agriculture,,2622-5921,https://doaj.org/toc/2622-5921
Grain & Oil Science and Technology,"Agriculture
Technology: Chemical technology: Food processing and manufacture",2096-4501,2590-2598,https://doaj.org/toc/2096-4501
Artificial Intelligence in Agriculture,Agriculture,,2589-7217,https://doaj.org/toc/2589-7217
Siembra,Agriculture,1390-8928,2477-8850,https://doaj.org/toc/1390-8928
Наукові горизонти                            Scientific Horizons,Agriculture,2663-2144,,https://doaj.org/toc/2663-2144
علوم آب و خاک,Agriculture: Agriculture (General),2476-3594,2476-5554,https://doaj.org/toc/2476-3594
Turkish Journal of Forestry                            Türkiye Ormancılık Dergisi,Agriculture: Forestry,,2149-3898,https://doaj.org/toc/2149-3898
علوم و تحقیقات بذر ایران                            Iranian Journal of Seed Science and Research,Agriculture: Agriculture (General),,2476-3780,https://doaj.org/toc/2476-3780
Journal of Agricultural and Resource Economics                            JARE,Agriculture,1068-5502,2327-8285,https://doaj.org/toc/1068-5502
Ukrainian Journal of Veterinary and Agricultural Sciences,Agriculture,,2617-6149,https://doaj.org/toc/2617-6149
تحقیقات تولیدات دامی                            Animal Production Research,Agriculture: Animal culture,2252-0872,2538-6107,https://doaj.org/toc/2252-0872
